flag,input,baseline_jam,delta_jam,baseline_gas,delta_gas,compile_ok,run_status
--no-peephole,add,160,0,27,0,1,ok
--no-peephole,fibonacci,221,0,429,0,1,ok
--no-peephole,factorial,200,0,185,0,1,ok
--no-peephole,is-prime,271,0,61,0,1,ok
--no-peephole,regalloc-two-loops,561,0,34073,0,1,ok
--no-peephole,blake2b,3765,0,14819,0,1,ok
--no-peephole,sha512,3511,1,14459,1,1,ok
--no-peephole,sha512-240a,3511,1,43111,0,1,ok
--no-peephole,u128-mul-bench,457,0,71031,0,1,ok
--no-peephole,u128-div-bench,765,0,68031,0,1,ok
--no-peephole,u128-div-bench-slow,771,0,129031,0,1,ok
--no-peephole,host-call-log,458,0,40,0,1,ok
--no-peephole,as-fibonacci,613,0,256,0,1,ok
--no-peephole,as-factorial,603,0,221,0,1,ok
--no-peephole,as-gcd,609,0,163,0,1,ok
--no-peephole,as-decoder-test,6523,0,912,0,1,ok
--no-peephole,as-array-test,5923,0,779,0,1,ok
--no-peephole,aslan-fib,19831,1,10431,0,1,ok
--no-peephole,aslan-ecalli,42350,1,100000000,0,1,ok
--no-register-cache,add,160,4,27,1,1,ok
--no-register-cache,fibonacci,221,36,429,163,1,ok
--no-register-cache,factorial,200,32,185,64,1,ok
--no-register-cache,is-prime,271,17,61,4,1,ok
--no-register-cache,regalloc-two-loops,561,180,34073,17008,1,ok
--no-register-cache,blake2b,3765,649,14819,5413,1,ok
--no-register-cache,sha512,3511,706,14459,7496,1,ok
--no-register-cache,sha512-240a,3511,706,43111,22421,1,ok
--no-register-cache,u128-mul-bench,457,14,71031,4000,1,ok
--no-register-cache,u128-div-bench,765,79,68031,6000,1,ok
--no-register-cache,u128-div-bench-slow,771,79,129031,15000,1,ok
--no-register-cache,host-call-log,458,0,40,0,1,ok
--no-register-cache,as-fibonacci,613,135,256,90,1,ok
--no-register-cache,as-factorial,603,126,221,62,1,ok
--no-register-cache,as-gcd,609,133,163,42,1,ok
--no-register-cache,as-decoder-test,6523,1187,912,53,1,ok
--no-register-cache,as-array-test,5923,995,779,67,1,ok
--no-register-cache,aslan-fib,19831,3647,10431,2678,1,ok
--no-register-cache,aslan-ecalli,42350,5810,100000000,0,1,ok
--no-icmp-fusion,add,160,0,27,0,1,ok
--no-icmp-fusion,fibonacci,221,4,429,21,1,ok
--no-icmp-fusion,factorial,200,5,185,11,1,ok
--no-icmp-fusion,is-prime,271,12,61,8,1,ok
--no-icmp-fusion,regalloc-two-loops,561,7,34073,1002,1,ok
--no-icmp-fusion,blake2b,3765,16,14819,26,1,ok
--no-icmp-fusion,sha512,3511,29,14459,171,1,ok
--no-icmp-fusion,sha512-240a,3511,29,43111,500,1,ok
--no-icmp-fusion,u128-mul-bench,457,9,71031,3003,1,ok
--no-icmp-fusion,u128-div-bench,765,18,68031,6003,1,ok
--no-icmp-fusion,u128-div-bench-slow,771,18,129031,6003,1,ok
--no-icmp-fusion,host-call-log,458,0,40,0,1,ok
--no-icmp-fusion,as-fibonacci,613,15,256,15,1,ok
--no-icmp-fusion,as-factorial,603,16,221,12,1,ok
--no-icmp-fusion,as-gcd,609,21,163,19,1,ok
--no-icmp-fusion,as-decoder-test,6523,80,912,14,1,ok
--no-icmp-fusion,as-array-test,5923,71,779,17,1,ok
--no-icmp-fusion,aslan-fib,19831,438,10431,749,1,ok
--no-icmp-fusion,aslan-ecalli,42350,874,100000000,0,1,ok
--no-shrink-wrap,add,160,0,27,0,1,ok
--no-shrink-wrap,fibonacci,221,0,429,0,1,ok
--no-shrink-wrap,factorial,200,0,185,0,1,ok
--no-shrink-wrap,is-prime,271,0,61,0,1,ok
--no-shrink-wrap,regalloc-two-loops,561,0,34073,0,1,ok
--no-shrink-wrap,blake2b,3765,2,14819,0,1,ok
--no-shrink-wrap,sha512,3511,5,14459,0,1,ok
--no-shrink-wrap,sha512-240a,3511,5,43111,0,1,ok
--no-shrink-wrap,u128-mul-bench,457,2,71031,0,1,ok
--no-shrink-wrap,u128-div-bench,765,5,68031,0,1,ok
--no-shrink-wrap,u128-div-bench-slow,771,5,129031,0,1,ok
--no-shrink-wrap,host-call-log,458,0,40,0,1,ok
--no-shrink-wrap,as-fibonacci,613,31,256,8,1,ok
--no-shrink-wrap,as-factorial,603,31,221,8,1,ok
--no-shrink-wrap,as-gcd,609,30,163,8,1,ok
--no-shrink-wrap,as-decoder-test,6523,33,912,8,1,ok
--no-shrink-wrap,as-array-test,5923,32,779,8,1,ok
--no-shrink-wrap,aslan-fib,19831,1,10431,0,1,ok
--no-shrink-wrap,aslan-ecalli,42350,53,100000000,-99993509,1,ok
--no-dead-store-elim,add,160,34,27,10,1,ok
--no-dead-store-elim,fibonacci,221,30,429,124,1,ok
--no-dead-store-elim,factorial,200,26,185,54,1,ok
--no-dead-store-elim,is-prime,271,45,61,14,1,ok
--no-dead-store-elim,regalloc-two-loops,561,70,34073,6506,1,ok
--no-dead-store-elim,blake2b,3765,437,14819,3226,1,ok
--no-dead-store-elim,sha512,3511,508,14459,4144,1,ok
--no-dead-store-elim,sha512-240a,3511,508,43111,12394,1,ok
--no-dead-store-elim,u128-mul-bench,457,45,71031,9003,1,ok
--no-dead-store-elim,u128-div-bench,765,86,68031,8003,1,ok
--no-dead-store-elim,u128-div-bench-slow,771,86,129031,17003,1,ok
--no-dead-store-elim,host-call-log,458,17,40,5,1,ok
--no-dead-store-elim,as-fibonacci,613,79,256,43,1,ok
--no-dead-store-elim,as-factorial,603,79,221,41,1,ok
--no-dead-store-elim,as-gcd,609,78,163,25,1,ok
--no-dead-store-elim,as-decoder-test,6523,837,912,162,1,ok
--no-dead-store-elim,as-array-test,5923,673,779,131,1,ok
--no-dead-store-elim,aslan-fib,19831,2515,10431,1962,1,ok
--no-dead-store-elim,aslan-ecalli,42350,4769,100000000,0,1,ok
--no-const-prop,add,160,0,27,0,1,ok
--no-const-prop,fibonacci,221,0,429,0,1,ok
--no-const-prop,factorial,200,0,185,0,1,ok
--no-const-prop,is-prime,271,0,61,0,1,ok
--no-const-prop,regalloc-two-loops,561,0,34073,0,1,ok
--no-const-prop,blake2b,3765,23,14819,4,1,ok
--no-const-prop,sha512,3511,0,14459,0,1,ok
--no-const-prop,sha512-240a,3511,0,43111,0,1,ok
--no-const-prop,u128-mul-bench,457,0,71031,0,1,ok
--no-const-prop,u128-div-bench,765,0,68031,0,1,ok
--no-const-prop,u128-div-bench-slow,771,0,129031,0,1,ok
--no-const-prop,host-call-log,458,4,40,1,1,ok
--no-const-prop,as-fibonacci,613,0,256,0,1,ok
--no-const-prop,as-factorial,603,0,221,0,1,ok
--no-const-prop,as-gcd,609,0,163,0,1,ok
--no-const-prop,as-decoder-test,6523,0,912,0,1,ok
--no-const-prop,as-array-test,5923,0,779,0,1,ok
--no-const-prop,aslan-fib,19831,67,10431,8,1,ok
--no-const-prop,aslan-ecalli,42350,0,100000000,0,1,ok
--no-inline,add,160,0,27,0,1,ok
--no-inline,fibonacci,221,0,429,0,1,ok
--no-inline,factorial,200,0,185,0,1,ok
--no-inline,is-prime,271,0,61,0,1,ok
--no-inline,regalloc-two-loops,561,0,34073,0,1,ok
--no-inline,blake2b,3765,0,14819,0,1,ok
--no-inline,sha512,3511,166,14459,694,1,ok
--no-inline,sha512-240a,3511,166,43111,1722,1,ok
--no-inline,u128-mul-bench,457,0,71031,0,1,ok
--no-inline,u128-div-bench,765,0,68031,0,1,ok
--no-inline,u128-div-bench-slow,771,0,129031,0,1,ok
--no-inline,host-call-log,458,0,40,0,1,ok
--no-inline,as-fibonacci,613,0,256,0,1,ok
--no-inline,as-factorial,603,0,221,0,1,ok
--no-inline,as-gcd,609,0,163,0,1,ok
--no-inline,as-decoder-test,6523,173,912,815,1,ok
--no-inline,as-array-test,5923,151,779,665,1,ok
--no-inline,aslan-fib,19831,317,10431,50,1,ok
--no-inline,aslan-ecalli,42350,-526,100000000,0,1,ok
--no-cross-block-cache,add,160,0,27,0,1,ok
--no-cross-block-cache,fibonacci,221,14,429,63,1,ok
--no-cross-block-cache,factorial,200,18,185,34,1,ok
--no-cross-block-cache,is-prime,271,10,61,3,1,ok
--no-cross-block-cache,regalloc-two-loops,561,70,34073,7004,1,ok
--no-cross-block-cache,blake2b,3765,32,14819,42,1,ok
--no-cross-block-cache,sha512,3511,28,14459,274,1,ok
--no-cross-block-cache,sha512-240a,3511,28,43111,822,1,ok
--no-cross-block-cache,u128-mul-bench,457,0,71031,0,1,ok
--no-cross-block-cache,u128-div-bench,765,0,68031,0,1,ok
--no-cross-block-cache,u128-div-bench-slow,771,0,129031,0,1,ok
--no-cross-block-cache,host-call-log,458,0,40,0,1,ok
--no-cross-block-cache,as-fibonacci,613,18,256,41,1,ok
--no-cross-block-cache,as-factorial,603,23,221,25,1,ok
--no-cross-block-cache,as-gcd,609,13,163,10,1,ok
--no-cross-block-cache,as-decoder-test,6523,76,912,6,1,ok
--no-cross-block-cache,as-array-test,5923,40,779,5,1,ok
--no-cross-block-cache,aslan-fib,19831,127,10431,326,1,ok
--no-cross-block-cache,aslan-ecalli,42350,376,100000000,0,1,ok
--no-register-alloc,add,160,25,27,7,1,ok
--no-register-alloc,fibonacci,221,32,429,142,1,ok
--no-register-alloc,factorial,200,30,185,64,1,ok
--no-register-alloc,is-prime,271,37,61,9,1,ok
--no-register-alloc,regalloc-two-loops,561,87,34073,6500,1,ok
--no-register-alloc,blake2b,3765,59,14819,360,1,ok
--no-register-alloc,sha512,3511,122,14459,1352,1,ok
--no-register-alloc,sha512-240a,3511,122,43111,4062,1,ok
--no-register-alloc,u128-mul-bench,457,16,71031,1998,1,ok
--no-register-alloc,u128-div-bench,765,-11,68031,2998,1,ok
--no-register-alloc,u128-div-bench-slow,771,-11,129031,-5002,1,ok
--no-register-alloc,host-call-log,458,0,40,-1,1,ok
--no-register-alloc,as-fibonacci,613,32,256,43,1,ok
--no-register-alloc,as-factorial,603,36,221,33,1,ok
--no-register-alloc,as-gcd,609,18,163,5,1,ok
--no-register-alloc,as-decoder-test,6523,20,912,3,1,ok
--no-register-alloc,as-array-test,5923,-56,779,1,1,ok
--no-register-alloc,aslan-fib,19831,271,10431,287,1,ok
--no-register-alloc,aslan-ecalli,42350,173,100000000,-99993317,1,ok
--no-fallthrough-jumps,add,160,0,27,0,1,ok
--no-fallthrough-jumps,fibonacci,221,11,429,1,1,ok
--no-fallthrough-jumps,factorial,200,18,185,22,1,ok
--no-fallthrough-jumps,is-prime,271,16,61,1,1,ok
--no-fallthrough-jumps,regalloc-two-loops,561,16,34073,-497,1,ok
--no-fallthrough-jumps,blake2b,3765,60,14819,14,1,ok
--no-fallthrough-jumps,sha512,3511,63,14459,-545,1,ok
--no-fallthrough-jumps,sha512-240a,3511,63,43111,-1631,1,ok
--no-fallthrough-jumps,u128-mul-bench,457,24,71031,5002,1,ok
--no-fallthrough-jumps,u128-div-bench,765,32,68031,3001,1,ok
--no-fallthrough-jumps,u128-div-bench-slow,771,32,129031,5001,1,ok
--no-fallthrough-jumps,host-call-log,458,0,40,0,1,ok
--no-fallthrough-jumps,as-fibonacci,613,25,256,33,1,ok
--no-fallthrough-jumps,as-factorial,603,34,221,30,1,ok
--no-fallthrough-jumps,as-gcd,609,21,163,8,1,ok
--no-fallthrough-jumps,as-decoder-test,6523,-14,912,2,1,ok
--no-fallthrough-jumps,as-array-test,5923,-6,779,0,1,ok
--no-fallthrough-jumps,aslan-fib,19831,456,10431,-116,1,ok
--no-fallthrough-jumps,aslan-ecalli,42350,849,100000000,0,1,ok
--no-aggressive-regalloc,add,160,31,27,9,1,ok
--no-aggressive-regalloc,fibonacci,221,13,429,81,1,ok
--no-aggressive-regalloc,factorial,200,-8,185,-19,1,ok
--no-aggressive-regalloc,is-prime,271,14,61,2,1,ok
--no-aggressive-regalloc,regalloc-two-loops,561,-18,34073,-2003,1,ok
--no-aggressive-regalloc,blake2b,3765,20,14819,-186,1,ok
--no-aggressive-regalloc,sha512,3511,46,14459,-82,1,ok
--no-aggressive-regalloc,sha512-240a,3511,46,43111,-244,1,ok
--no-aggressive-regalloc,u128-mul-bench,457,14,71031,6996,1,ok
--no-aggressive-regalloc,u128-div-bench,765,-9,68031,1996,1,ok
--no-aggressive-regalloc,u128-div-bench-slow,771,-9,129031,1996,1,ok
--no-aggressive-regalloc,host-call-log,458,0,40,-1,1,ok
--no-aggressive-regalloc,as-fibonacci,613,18,256,41,1,ok
--no-aggressive-regalloc,as-factorial,603,3,221,15,1,ok
--no-aggressive-regalloc,as-gcd,609,5,163,2,1,ok
--no-aggressive-regalloc,as-decoder-test,6523,-56,912,-6,1,ok
--no-aggressive-regalloc,as-array-test,5923,-95,779,-9,1,ok
--no-aggressive-regalloc,aslan-fib,19831,-7,10431,-117,1,ok
--no-aggressive-regalloc,aslan-ecalli,42350,-83,100000000,0,1,ok
--no-scratch-reg-alloc,add,160,0,27,0,1,ok
--no-scratch-reg-alloc,fibonacci,221,16,429,101,1,ok
--no-scratch-reg-alloc,factorial,200,8,185,20,1,ok
--no-scratch-reg-alloc,is-prime,271,0,61,0,1,ok
--no-scratch-reg-alloc,regalloc-two-loops,561,50,34073,4001,1,ok
--no-scratch-reg-alloc,blake2b,3765,0,14819,0,1,ok
--no-scratch-reg-alloc,sha512,3511,0,14459,0,1,ok
--no-scratch-reg-alloc,sha512-240a,3511,0,43111,0,1,ok
--no-scratch-reg-alloc,u128-mul-bench,457,2,71031,-1000,1,ok
--no-scratch-reg-alloc,u128-div-bench,765,-2,68031,-1000,1,ok
--no-scratch-reg-alloc,u128-div-bench-slow,771,-2,129031,-1000,1,ok
--no-scratch-reg-alloc,host-call-log,458,0,40,0,1,ok
--no-scratch-reg-alloc,as-fibonacci,613,0,256,0,1,ok
--no-scratch-reg-alloc,as-factorial,603,0,221,0,1,ok
--no-scratch-reg-alloc,as-gcd,609,0,163,0,1,ok
--no-scratch-reg-alloc,as-decoder-test,6523,-2,912,-5,1,ok
--no-scratch-reg-alloc,as-array-test,5923,-2,779,-4,1,ok
--no-scratch-reg-alloc,aslan-fib,19831,71,10431,-76,1,ok
--no-scratch-reg-alloc,aslan-ecalli,42350,145,100000000,0,1,ok
--no-caller-saved-alloc,add,160,0,27,0,1,ok
--no-caller-saved-alloc,fibonacci,221,-2,429,18,1,ok
--no-caller-saved-alloc,factorial,200,-14,185,-41,1,ok
--no-caller-saved-alloc,is-prime,271,-7,61,-2,1,ok
--no-caller-saved-alloc,regalloc-two-loops,561,23,34073,997,1,ok
--no-caller-saved-alloc,blake2b,3765,19,14819,384,1,ok
--no-caller-saved-alloc,sha512,3511,13,14459,144,1,ok
--no-caller-saved-alloc,sha512-240a,3511,13,43111,432,1,ok
--no-caller-saved-alloc,u128-mul-bench,457,-4,71031,-2000,1,ok
--no-caller-saved-alloc,u128-div-bench,765,0,68031,0,1,ok
--no-caller-saved-alloc,u128-div-bench-slow,771,0,129031,0,1,ok
--no-caller-saved-alloc,host-call-log,458,0,40,0,1,ok
--no-caller-saved-alloc,as-fibonacci,613,32,256,43,1,ok
--no-caller-saved-alloc,as-factorial,603,-18,221,-26,1,ok
--no-caller-saved-alloc,as-gcd,609,6,163,0,1,ok
--no-caller-saved-alloc,as-decoder-test,6523,2,912,6,1,ok
--no-caller-saved-alloc,as-array-test,5923,2,779,5,1,ok
--no-caller-saved-alloc,aslan-fib,19831,-9,10431,-33,1,ok
--no-caller-saved-alloc,aslan-ecalli,42350,-62,100000000,0,1,ok
--no-lazy-spill,add,160,-6,27,-2,1,ok
--no-lazy-spill,fibonacci,221,0,429,-2,1,ok
--no-lazy-spill,factorial,200,-3,185,-2,1,ok
--no-lazy-spill,is-prime,271,11,61,0,1,ok
--no-lazy-spill,regalloc-two-loops,561,7,34073,498,1,ok
--no-lazy-spill,blake2b,3765,54,14819,-317,1,ok
--no-lazy-spill,sha512,3511,8,14459,241,1,ok
--no-lazy-spill,sha512-240a,3511,8,43111,723,1,ok
--no-lazy-spill,u128-mul-bench,457,-37,71031,-11999,1,ok
--no-lazy-spill,u128-div-bench,765,-27,68031,1001,1,ok
--no-lazy-spill,u128-div-bench-slow,771,-27,129031,-8999,1,ok
--no-lazy-spill,host-call-log,458,0,40,0,1,ok
--no-lazy-spill,as-fibonacci,613,0,256,0,1,ok
--no-lazy-spill,as-factorial,603,5,221,0,1,ok
--no-lazy-spill,as-gcd,609,4,163,0,1,ok
--no-lazy-spill,as-decoder-test,6523,-27,912,-4,1,ok
--no-lazy-spill,as-array-test,5923,-81,779,1,1,ok
--no-lazy-spill,aslan-fib,19831,145,10431,159,1,ok
--no-lazy-spill,aslan-ecalli,42350,50,100000000,-99993396,1,ok
--no-libcall-recognition,add,160,0,27,0,1,ok
--no-libcall-recognition,fibonacci,221,0,429,0,1,ok
--no-libcall-recognition,factorial,200,0,185,0,1,ok
--no-libcall-recognition,is-prime,271,0,61,0,1,ok
--no-libcall-recognition,regalloc-two-loops,561,0,34073,0,1,ok
--no-libcall-recognition,blake2b,3765,0,14819,0,1,ok
--no-libcall-recognition,sha512,3511,0,14459,0,1,ok
--no-libcall-recognition,sha512-240a,3511,0,43111,0,1,ok
--no-libcall-recognition,u128-mul-bench,457,157,71031,40000,1,ok
--no-libcall-recognition,u128-div-bench,765,-82,68031,53000,1,ok
--no-libcall-recognition,u128-div-bench-slow,771,-82,129031,-8000,1,ok
--no-libcall-recognition,host-call-log,458,0,40,0,1,ok
--no-libcall-recognition,as-fibonacci,613,0,256,0,1,ok
--no-libcall-recognition,as-factorial,603,0,221,0,1,ok
--no-libcall-recognition,as-gcd,609,0,163,0,1,ok
--no-libcall-recognition,as-decoder-test,6523,0,912,0,1,ok
--no-libcall-recognition,as-array-test,5923,0,779,0,1,ok
--no-libcall-recognition,aslan-fib,19831,0,10431,0,1,ok
--no-libcall-recognition,aslan-ecalli,42350,0,100000000,0,1,ok
--no-mergefunc,add,160,0,27,0,1,ok
--no-mergefunc,fibonacci,221,0,429,0,1,ok
--no-mergefunc,factorial,200,0,185,0,1,ok
--no-mergefunc,is-prime,271,0,61,0,1,ok
--no-mergefunc,regalloc-two-loops,561,0,34073,0,1,ok
--no-mergefunc,blake2b,3765,0,14819,0,1,ok
--no-mergefunc,sha512,3511,0,14459,0,1,ok
--no-mergefunc,sha512-240a,3511,0,43111,0,1,ok
--no-mergefunc,u128-mul-bench,457,0,71031,0,1,ok
--no-mergefunc,u128-div-bench,765,0,68031,0,1,ok
--no-mergefunc,u128-div-bench-slow,771,0,129031,0,1,ok
--no-mergefunc,host-call-log,458,0,40,0,1,ok
--no-mergefunc,as-fibonacci,613,0,256,0,1,ok
--no-mergefunc,as-factorial,603,0,221,0,1,ok
--no-mergefunc,as-gcd,609,0,163,0,1,ok
--no-mergefunc,as-decoder-test,6523,0,912,0,1,ok
--no-mergefunc,as-array-test,5923,0,779,0,1,ok
--no-mergefunc,aslan-fib,19831,0,10431,0,1,ok
--no-mergefunc,aslan-ecalli,42350,0,100000000,0,1,ok
